iter	Passed	Remaining
0	2	2489
1	5	2546
2	7	2372
3	9	2243
4	10	2026
5	12	1989
6	13	1866
7	14	1830
8	16	1825
9	17	1767
10	20	1801
11	22	1827
12	23	1780
13	24	1737
14	25	1701
15	27	1705
16	29	1692
17	31	1693
18	32	1678
19	33	1664
20	35	1653
21	37	1648
22	38	1632
23	40	1636
24	41	1618
25	42	1592
26	44	1597
27	45	1591
28	47	1577
29	48	1563
30	50	1571
31	51	1554
32	52	1548
33	56	1602
34	59	1634
35	62	1683
36	65	1702
37	69	1759
38	70	1745
39	73	1762
40	75	1776
41	77	1773
42	82	1830
43	83	1823
44	86	1840
45	89	1854
46	91	1857
47	93	1863
48	97	1889
49	101	1925
50	105	1962
51	106	1947
52	110	1978
53	114	2013
54	116	2008
55	118	1989
56	119	1982
57	121	1967
58	122	1961
59	124	1944
60	125	1927
61	127	1922
62	129	1922
63	132	1932
64	135	1951
65	138	1953
66	139	1942
67	140	1931
68	142	1918
69	143	1908
70	144	1896
71	146	1890
72	148	1880
73	149	1874
74	150	1860
75	151	1846
76	153	1837
77	154	1823
78	156	1819
79	157	1807
80	158	1798
81	159	1789
82	161	1782
83	162	1770
84	163	1765
85	165	1756
86	166	1751
87	168	1742
88	169	1735
89	170	1725
90	172	1718
91	173	1708
92	174	1705
93	175	1695
94	177	1692
95	178	1683
96	180	1676
97	181	1667
98	182	1662
99	183	1653
100	184	1643
101	186	1640
102	187	1633
103	188	1626
104	190	1621
105	191	1619
106	193	1612
107	194	1607
108	195	1600
109	197	1598
110	199	1595
111	200	1593
112	202	1591
113	204	1586
114	205	1579
115	206	1574
116	207	1568
117	209	1566
118	210	1560
119	212	1556
120	213	1548
121	214	1542
122	216	1540
123	217	1534
124	218	1529
125	220	1527
126	221	1525
127	223	1523
128	224	1517
129	226	1512
130	226	1505
131	228	1500
132	229	1494
133	230	1490
134	232	1486
135	233	1481
136	234	1476
137	235	1472
138	236	1467
139	238	1466
140	239	1460
141	241	1456
142	242	1450
143	243	1445
144	244	1440
145	245	1438
146	247	1438
147	249	1439
148	251	1434
149	252	1430
150	253	1427
151	255	1423
152	256	1420
153	257	1415
154	258	1411
155	260	1409
156	261	1406
157	263	1405
158	264	1401
159	266	1398
160	268	1397
161	269	1393
162	270	1389
163	271	1384
164	273	1383
165	275	1382
166	276	1381
167	279	1382
168	280	1378
169	281	1376
170	282	1371
171	284	1367
172	285	1366
173	287	1362
174	288	1358
175	289	1355
176	290	1351
177	291	1347
178	293	1347
179	294	1342
180	296	1341
181	297	1338
182	298	1333
183	299	1330
184	300	1325
185	301	1321
186	302	1317
187	304	1316
188	306	1313
189	307	1312
190	309	1309
191	310	1304
192	311	1303
193	313	1300
194	314	1299
195	315	1296
196	316	1291
197	318	1290
198	319	1287
199	321	1286
200	322	1283
201	324	1283
202	325	1279
203	327	1277
204	328	1273
205	329	1271
206	330	1267
207	332	1264
208	333	1263
209	335	1262
210	337	1260
211	339	1260
212	340	1259
213	342	1258
214	344	1256
215	345	1255
216	346	1251
217	348	1249
218	350	1248
219	351	1245
220	352	1242
221	354	1242
222	355	1239
223	357	1237
224	358	1235
225	359	1232
226	361	1230
227	363	1229
228	364	1225
229	365	1221
230	366	1220
231	368	1219
232	369	1217
233	371	1216
234	373	1214
235	374	1212
236	376	1211
237	377	1207
238	378	1205
239	380	1203
240	381	1200
241	382	1198
242	384	1197
243	385	1194
244	387	1192
245	388	1189
246	389	1188
247	391	1186
248	393	1185
249	394	1182
250	395	1179
251	396	1176
252	397	1172
253	399	1171
254	400	1169
255	401	1166
256	402	1163
257	404	1162
258	405	1159
259	406	1157
260	408	1156
261	409	1153
262	410	1150
263	411	1147
264	413	1145
265	414	1144
266	415	1141
267	417	1139
268	418	1137
269	419	1134
270	420	1132
271	422	1130
272	423	1127
273	425	1126
274	426	1125
275	427	1122
276	428	1119
277	430	1117
278	431	1114
279	432	1112
280	433	1109
281	434	1107
282	436	1106
283	437	1103
284	438	1100
285	439	1098
286	441	1096
287	442	1094
288	445	1095
289	446	1092
290	447	1090
291	448	1087
292	449	1084
293	451	1083
294	452	1081
295	453	1079
296	454	1076
297	455	1073
298	457	1071
299	459	1072
300	461	1070
301	462	1069
302	464	1067
303	465	1066
304	467	1064
305	468	1063
306	470	1061
307	471	1060
308	473	1059
309	475	1058
310	476	1056
311	477	1053
312	478	1051
313	480	1048
314	481	1046
315	482	1044
316	484	1044
317	485	1041
318	486	1039
319	488	1038
320	490	1036
321	491	1035
322	492	1032
323	494	1031
324	495	1029
325	497	1028
326	499	1027
327	500	1024
328	501	1023
329	502	1020
330	504	1019
331	505	1017
332	506	1015
333	508	1014
334	510	1013
335	512	1011
336	513	1009
337	514	1008
338	516	1006
339	517	1004
340	519	1003
341	520	1002
342	522	1000
343	523	999
344	525	998
345	527	997
346	529	995
347	530	993
348	531	991
349	533	990
350	534	987
351	535	986
352	537	985
353	539	983
354	540	982
355	541	980
356	543	978
357	544	975
358	545	974
359	547	973
360	548	971
361	549	968
362	550	965
363	551	963
364	552	961
365	553	959
366	554	956
367	556	955
368	558	954
369	559	952
370	560	949
371	561	948
372	562	946
373	564	944
374	564	941
375	566	940
376	567	937
377	568	935
378	569	933
379	571	932
380	572	930
381	574	929
382	576	927
383	577	926
384	579	925
385	580	923
386	582	922
387	583	919
388	584	917
389	585	915
390	586	913
391	588	912
392	589	910
393	590	908
394	592	907
395	593	905
396	594	903
397	596	901
398	597	899
399	598	897
400	599	895
401	600	893
402	601	891
403	602	889
404	604	887
405	606	886
406	607	884
407	608	882
408	609	880
409	611	879
410	612	877
411	613	876
412	615	874
413	616	872
414	617	870
415	619	869
416	621	869
417	623	868
418	625	866
419	626	865
420	627	863
421	629	862
422	631	861
423	632	859
424	633	857
425	634	855
426	636	854
427	638	853
428	639	851
429	641	850
430	643	849
431	644	847
432	645	845
433	646	843
434	648	841
435	649	839
436	650	838
437	653	838
438	655	837
439	656	835
440	658	834
441	658	831
442	660	830
443	661	828
444	662	826
445	663	824
446	665	823
447	668	823
448	670	822
449	671	820
450	672	818
451	673	816
452	674	814
453	675	812
454	677	811
455	678	809
456	679	807
457	680	805
458	681	803
459	682	801
460	684	800
461	685	798
462	686	796
463	687	794
464	688	791
465	689	790
466	691	789
467	692	787
468	693	784
469	694	783
470	695	781
471	697	780
472	698	778
473	700	777
474	701	775
475	702	773
476	703	771
477	704	769
478	705	767
479	706	765
480	708	764
481	709	762
482	711	761
483	712	759
484	714	759
485	716	757
486	717	756
487	719	754
488	720	752
489	721	750
490	722	748
491	723	747
492	724	745
493	726	744
494	727	742
495	729	741
496	730	739
497	731	737
498	733	735
499	734	734
500	735	733
501	736	730
502	738	729
503	739	727
504	741	726
505	742	724
506	743	723
507	745	721
508	746	720
509	748	718
510	749	717
511	751	715
512	752	714
513	754	712
514	755	711
515	756	709
516	757	707
517	759	706
518	760	704
519	762	703
520	763	702
521	764	700
522	766	699
523	768	697
524	769	696
525	770	694
526	772	693
527	773	691
528	775	690
529	776	688
530	778	687
531	779	685
532	781	684
533	782	682
534	783	681
535	784	679
536	785	677
537	787	676
538	788	674
539	789	672
540	791	671
541	792	669
542	793	667
543	794	665
544	796	664
545	797	662
546	798	661
547	800	659
548	801	658
549	802	656
550	803	655
551	804	653
552	805	651
553	806	649
554	808	648
555	809	646
556	811	645
557	812	643
558	813	642
559	815	640
560	816	638
561	817	637
562	818	635
563	819	633
564	821	632
565	822	630
566	824	629
567	825	627
568	826	625
569	827	624
570	828	622
571	830	621
572	831	619
573	832	618
574	833	616
575	834	614
576	836	613
577	838	611
578	839	610
579	840	608
580	842	607
581	843	605
582	845	604
583	846	602
584	847	601
585	848	599
586	849	597
587	851	596
588	852	594
589	853	593
590	855	591
591	857	590
592	858	589
593	860	588
594	862	586
595	863	585
596	865	583
597	866	582
598	866	580
599	868	579
600	869	577
601	870	575
602	871	573
603	873	572
604	874	570
605	875	569
606	877	568
607	879	566
608	880	565
609	882	564
610	883	562
611	884	560
612	885	559
613	887	557
614	888	556
615	889	554
616	891	553
617	892	551
618	893	550
619	895	548
620	896	546
621	897	545
622	899	544
623	900	542
624	901	541
625	903	539
626	904	538
627	906	536
628	907	535
629	908	533
630	910	532
631	912	531
632	913	529
633	914	528
634	916	526
635	917	525
636	919	523
637	920	522
638	921	520
639	923	519
640	925	518
641	926	516
642	927	515
643	929	513
644	930	512
645	932	510
646	934	509
647	935	508
648	936	506
649	938	505
650	939	503
651	941	502
652	942	500
653	943	499
654	945	497
655	946	496
656	947	494
657	948	492
658	948	490
659	950	489
660	951	487
661	952	486
662	953	484
663	955	483
664	957	482
665	958	480
666	959	479
667	961	477
668	963	476
669	964	475
670	966	473
671	968	472
672	969	470
673	970	469
674	971	467
675	973	466
676	974	464
677	976	463
678	977	462
679	978	460
680	980	459
681	981	457
682	983	456
683	984	455
684	986	453
685	988	452
686	989	450
687	990	449
688	992	447
689	994	446
690	995	445
691	996	443
692	998	442
693	1000	440
694	1001	439
695	1003	438
696	1004	436
697	1005	435
698	1007	433
699	1009	432
700	1010	430
701	1011	429
702	1013	428
703	1015	426
704	1016	425
705	1017	423
706	1019	422
707	1020	421
708	1021	419
709	1023	418
710	1024	416
711	1025	414
712	1027	413
713	1029	412
714	1030	410
715	1032	409
716	1034	408
717	1035	406
718	1037	405
719	1038	403
720	1040	402
721	1041	401
722	1043	399
723	1045	398
724	1047	397
725	1049	396
726	1051	394
727	1052	393
728	1053	391
729	1054	390
730	1056	388
731	1057	387
732	1059	385
733	1061	384
734	1062	383
735	1064	381
736	1066	380
737	1067	379
738	1069	377
739	1070	376
740	1072	374
741	1074	373
742	1075	372
743	1077	370
744	1078	369
745	1080	367
746	1081	366
747	1083	364
748	1085	363
749	1086	362
750	1088	360
751	1091	359
752	1092	358
753	1093	356
754	1095	355
755	1097	354
756	1098	352
757	1100	351
758	1101	349
759	1103	348
760	1105	347
761	1106	345
762	1108	344
763	1109	342
764	1111	341
765	1113	340
766	1114	338
767	1115	336
768	1116	335
769	1118	334
770	1120	332
771	1122	331
772	1123	329
773	1125	328
774	1126	326
775	1127	325
776	1129	324
777	1131	322
778	1132	321
779	1134	319
780	1136	318
781	1137	317
782	1138	315
783	1140	314
784	1142	312
785	1143	311
786	1144	309
787	1146	308
788	1148	307
789	1149	305
790	1150	304
791	1152	302
792	1153	301
793	1155	299
794	1157	298
795	1158	296
796	1160	295
797	1162	294
798	1163	292
799	1165	291
800	1166	289
801	1168	288
802	1169	286
803	1170	285
804	1171	283
805	1172	282
806	1174	280
807	1176	279
808	1177	278
809	1178	276
810	1180	275
811	1182	273
812	1183	272
813	1184	270
814	1185	269
815	1187	267
816	1189	266
817	1190	264
818	1192	263
819	1194	262
820	1195	260
821	1197	259
822	1199	257
823	1201	256
824	1202	255
825	1204	253
